"...1","Site","Clinic","Participation"
2020-08-01,"9","Irving",6289
2020-08-01,"10","Highland Hills",65
2020-08-01,"11","East Garland",4365
2020-08-01,"17","Northwest Highway",3097
2020-08-01,"24","North Dallas",5554
2020-08-01,"25","Ledbetter",9303
2020-08-01,"26","John West/Buckner",4195
2020-08-01,"30","Duncanville",2512
2020-08-01,"32","West Garland",4658
2020-08-01,"34","Medical District",330
2020-08-01,"37","Abrams Road",3707
2020-08-01,"39","Mesquite",3062
2020-09-01,"1","MLK Center",0
2020-09-01,"3","Westmoreland",3722
2020-09-01,"5","Lake June",7601
2020-09-01,"7","Carrollton",1853
2020-09-01,"8","Grand Prairie",3900
2020-09-01,"9","Irving",6261
2020-09-01,"10","Highland Hills",10
2020-09-01,"11","East Garland",4392
2020-09-01,"17","Northwest Highway",2919
2020-09-01,"24","North Dallas",5359
2020-09-01,"25","Ledbetter",8963
2020-09-01,"26","John West/Buckner",4189
2020-09-01,"30","Duncanville",2501
2020-09-01,"32","West Garland",4546
2020-09-01,"34","Medical District",233
2020-09-01,"37","Abrams Road",3707
2020-09-01,"39","Mesquite",3004
2020-10-01,"1","MLK Center",0
2020-10-01,"3","Westmoreland",3784
2020-10-01,"5","Lake June",7652
2020-10-01,"7","Carrollton",1894
2020-10-01,"8","Grand Prairie",3915
2020-10-01,"9","Irving",6428
2020-10-01,"10","Highland Hills",4
2020-10-01,"11","East Garland",4402
2020-10-01,"17","Northwest Highway",2902
2020-10-01,"24","North Dallas",5373
2020-10-01,"25","Ledbetter",8937
2020-10-01,"26","John West/Buckner",4214
2020-10-01,"30","Duncanville",2440
2020-10-01,"32","West Garland",4612
2020-10-01,"34","Medical District",241
2020-10-01,"37","Abrams Road",3765
2020-10-01,"39","Mesquite",3074
2020-11-01,"1","MLK Center",0
2020-11-01,"3","Westmoreland",3788
2020-11-01,"5","Lake June",7804
2020-11-01,"7","Carrollton",1916
2020-11-01,"8","Grand Prairie",3864
2020-11-01,"9","Irving",6517
2020-11-01,"10","Highland Hills",1
2020-11-01,"11","East Garland",4375
2020-11-01,"17","Northwest Highway",2827
2020-11-01,"24","North Dallas",5431
2020-11-01,"25","Ledbetter",8866
2020-11-01,"26","John West/Buckner",4128
2020-11-01,"30","Duncanville",2456
2020-11-01,"32","West Garland",4571
2020-11-01,"34","Medical District",270
2020-11-01,"37","Abrams Road",3758
2020-11-01,"39","Mesquite",3102
2020-12-01,"1","MLK Center",0
2020-12-01,"3","Westmoreland",3748
2020-12-01,"5","Lake June",7685
2020-12-01,"7","Carrollton",1800
2020-12-01,"8","Grand Prairie",3889
2020-12-01,"9","Irving",6523
2020-12-01,"10","Highland Hills",0
2020-12-01,"11","East Garland",4386
2020-12-01,"17","Northwest Highway",2876
2020-12-01,"24","North Dallas",5487
2020-12-01,"25","Ledbetter",8849
2020-12-01,"26","John West/Buckner",4101
2020-12-01,"30","Duncanville",2480
2020-12-01,"32","West Garland",4473
2020-12-01,"34","Medical District",325
2020-12-01,"37","Abrams Road",3758
2020-12-01,"39","Mesquite",3071
2021-01-01,"1","MLK Center",0
2021-01-01,"3","Westmoreland",3808
2021-01-01,"5","Lake June",7640
2021-01-01,"7","Carrollton",1376
2021-01-01,"8","Grand Prairie",3780
2021-01-01,"9","Irving",6605
2021-01-01,"10","Highland Hills",0
2021-01-01,"11","East Garland",4401
2021-01-01,"17","Northwest Highway",2967
2021-01-01,"24","North Dallas",5585
2021-01-01,"25","Ledbetter",8775
2021-01-01,"26","John West/Buckner",4055
2021-01-01,"30","Duncanville",2439
2021-01-01,"32","West Garland",4337
2021-01-01,"34","Medical District",310
2021-01-01,"37","Abrams Road",3739
2021-01-01,"39","Mesquite",3051
2021-02-01,"1","MLK Center",0
2021-02-01,"3","Westmoreland",3697
2021-02-01,"5","Lake June",7346
2021-02-01,"7","Carrollton",808
2021-02-01,"8","Grand Prairie",3712
2021-02-01,"9","Irving",6548
2021-02-01,"10","Highland Hills",0
2021-02-01,"11","East Garland",4335
2021-02-01,"17","Northwest Highway",3060
2021-02-01,"24","North Dallas",5664
2021-02-01,"25","Ledbetter",8332
2021-02-01,"26","John West/Buckner",3846
2021-02-01,"30","Duncanville",2371
2021-02-01,"32","West Garland",4254
2021-02-01,"34","Medical District",289
2021-02-01,"37","Abrams Road",3593
2021-02-01,"39","Mesquite",2934
2021-03-01,"1","MLK Center",0
2021-03-01,"3","Westmoreland",3769
2021-03-01,"5","Lake June",7462
2021-03-01,"7","Carrollton",349
2021-03-01,"8","Grand Prairie",3745
2021-03-01,"9","Irving",6756
2021-03-01,"10","Highland Hills",0
2021-03-01,"11","East Garland",4377
2021-03-01,"17","Northwest Highway",3269
2021-03-01,"24","North Dallas",5940
2021-03-01,"25","Ledbetter",8387
2021-03-01,"26","John West/Buckner",3951
2021-03-01,"30","Duncanville",2384
2021-03-01,"32","West Garland",4291
2021-03-01,"34","Medical District",264
2021-03-01,"37","Abrams Road",3653
2021-03-01,"39","Mesquite",2952
2021-04-01,"1","MLK Center",0
2021-04-01,"3","Westmoreland",3778
2021-04-01,"5","Lake June",7544
2021-04-01,"7","Carrollton",6
2021-04-01,"8","Grand Prairie",3730
2021-04-01,"9","Irving",6728
2021-04-01,"10","Highland Hills",0
2021-04-01,"11","East Garland",4332
2021-04-01,"17","Northwest Highway",3323
2021-04-01,"24","North Dallas",6047
2021-04-01,"25","Ledbetter",8181
2021-04-01,"26","John West/Buckner",4008
2021-04-01,"30","Duncanville",2304
2021-04-01,"32","West Garland",4183
2021-04-01,"34","Medical District",284
2021-04-01,"37","Abrams Road",3593
2021-04-01,"39","Mesquite",2964
2021-05-01,"1","MLK Center",0
2021-05-01,"3","Westmoreland",3633
2021-05-01,"5","Lake June",7396
2021-05-01,"7","Carrollton",6
2021-05-01,"8","Grand Prairie",3672
2021-05-01,"9","Irving",6555
2021-05-01,"10","Highland Hills",0
2021-05-01,"11","East Garland",4338
2021-05-01,"17","Northwest Highway",3310
2021-05-01,"24","North Dallas",5855
2021-05-01,"25","Ledbetter",7917
2021-05-01,"26","John West/Buckner",4062
2021-05-01,"30","Duncanville",2298
2021-05-01,"32","West Garland",4095
2021-05-01,"34","Medical District",305
2021-05-01,"37","Abrams Road",3535
2021-05-01,"39","Mesquite",3024
2021-06-01,"1","MLK Center",0
2021-06-01,"3","Westmoreland",3603
2021-06-01,"5","Lake June",7451
2021-06-01,"7","Carrollton",3
2021-06-01,"8","Grand Prairie",3683
2021-06-01,"9","Irving",6649
2021-06-01,"10","Highland Hills",0
2021-06-01,"11","East Garland",4355
2021-06-01,"17","Northwest Highway",3372
2021-06-01,"24","North Dallas",5876
2021-06-01,"25","Ledbetter",7618
2021-06-01,"26","John West/Buckner",4077
2021-06-01,"30","Duncanville",2361
2021-06-01,"32","West Garland",4112
2021-06-01,"34","Medical District",340
2021-06-01,"37","Abrams Road",3578
2021-06-01,"39","Mesquite",3020
2021-07-01,"1","MLK Center",5
2021-07-01,"3","Westmoreland",3649
2021-07-01,"5","Lake June",7384
2021-07-01,"7","Carrollton",0
2021-07-01,"8","Grand Prairie",3693
2021-07-01,"9","Irving",6814
2021-07-01,"10","Highland Hills",8
2021-07-01,"11","East Garland",4326
2021-07-01,"17","Northwest Highway",3358
2021-07-01,"24","North Dallas",5856
2021-07-01,"25","Ledbetter",7525
2021-07-01,"26","John West/Buckner",4140
2021-07-01,"30","Duncanville",2310
2021-07-01,"32","West Garland",3999
2021-07-01,"34","Medical District",345
2021-07-01,"37","Abrams Road",3635
2021-07-01,"39","Mesquite",3054
2021-08-01,"1","MLK Center",37
2021-08-01,"3","Westmoreland",3730
2021-08-01,"5","Lake June",7452
2021-08-01,"7","Carrollton",0
2021-08-01,"8","Grand Prairie",3837
2021-08-01,"9","Irving",7025
2021-08-01,"10","Highland Hills",22
2021-08-01,"11","East Garland",4375
2021-08-01,"17","Northwest Highway",3374
2021-08-01,"24","North Dallas",5916
2021-08-01,"25","Ledbetter",7750
2021-08-01,"26","John West/Buckner",4217
2021-08-01,"30","Duncanville",2470
2021-08-01,"32","West Garland",4075
2021-08-01,"34","Medical District",354
2021-08-01,"37","Abrams Road",3699
2021-08-01,"39","Mesquite",3186
2021-09-01,"1","MLK Center",100
2021-09-01,"3","Westmoreland",3776
2021-09-01,"5","Lake June",7533
2021-09-01,"7","Carrollton",0
2021-09-01,"8","Grand Prairie",3873
2021-09-01,"9","Irving",7240
2021-09-01,"10","Highland Hills",42
2021-09-01,"11","East Garland",4443
2021-09-01,"17","Northwest Highway",3435
2021-09-01,"24","North Dallas",6048
2021-09-01,"25","Ledbetter",7911
2021-09-01,"26","John West/Buckner",4390
2021-09-01,"30","Duncanville",2599
2021-09-01,"32","West Garland",4215
2021-09-01,"34","Medical District",347
2021-09-01,"37","Abrams Road",3733
2021-09-01,"39","Mesquite",3325
2021-10-01,"1","MLK Center",176
2021-10-01,"3","Westmoreland",3747
2021-10-01,"5","Lake June",7602
2021-10-01,"8","Grand Prairie",3923
2021-10-01,"9","Irving",7374
2021-10-01,"10","Highland Hills",51
2021-10-01,"11","East Garland",4415
2021-10-01,"17","Northwest Highway",3398
2021-10-01,"24","North Dallas",6035
2021-10-01,"25","Ledbetter",7911
2021-10-01,"26","John West/Buckner",4406
2021-10-01,"30","Duncanville",2582
2021-10-01,"32","West Garland",4276
2021-10-01,"34","Medical District",302
2021-10-01,"37","Abrams Road",3736
2021-10-01,"39","Mesquite",3285
2021-11-01,"1","MLK Center",307
2021-11-01,"3","Westmoreland",3724
2021-11-01,"5","Lake June",7765
2021-11-01,"8","Grand Prairie",4035
2021-11-01,"9","Irving",7568
2021-11-01,"10","Highland Hills",86
2021-11-01,"11","East Garland",4407
2021-11-01,"17","Northwest Highway",3414
2021-11-01,"24","North Dallas",5972
2021-11-01,"25","Ledbetter",7740
2021-11-01,"26","John West/Buckner",4442
2021-11-01,"30","Duncanville",2642
2021-11-01,"32","West Garland",4353
2021-11-01,"34","Medical District",297
2021-11-01,"37","Abrams Road",3818
2021-11-01,"39","Mesquite",3350
2021-12-01,"1","MLK Center",404
2021-12-01,"3","Westmoreland",3687
2021-12-01,"5","Lake June",7659
2021-12-01,"8","Grand Prairie",4032
2021-12-01,"9","Irving",7691
2021-12-01,"10","Highland Hills",103
2021-12-01,"11","East Garland",4356
2021-12-01,"17","Northwest Highway",3339
2021-12-01,"24","North Dallas",6016
2021-12-01,"25","Ledbetter",7593
2021-12-01,"26","John West/Buckner",4471
2021-12-01,"30","Duncanville",2678
2021-12-01,"32","West Garland",4404
2021-12-01,"34","Medical District",280
2021-12-01,"37","Abrams Road",3785
2021-12-01,"39","Mesquite",3409
2022-01-01,"1","MLK Center",482
2022-01-01,"3","Westmoreland",3676
2022-01-01,"5","Lake June",7712
2022-01-01,"8","Grand Prairie",4042
2022-01-01,"9","Irving",7932
2022-01-01,"10","Highland Hills",112
2022-01-01,"11","East Garland",4451
2022-01-01,"17","Northwest Highway",3348
2022-01-01,"24","North Dallas",6043
2022-01-01,"25","Ledbetter",7691
2022-01-01,"26","John West/Buckner",4513
2022-01-01,"30","Duncanville",2697
2022-01-01,"32","West Garland",4540
2022-01-01,"34","Medical District",200
2022-01-01,"37","Abrams Road",3769
2022-01-01,"39","Mesquite",3505
2022-02-01,"1","MLK Center",505
2022-02-01,"3","Westmoreland",3744
2022-02-01,"5","Lake June",7635
2022-02-01,"8","Grand Prairie",4022
2022-02-01,"9","Irving",7912
2022-02-01,"10","Highland Hills",121
2022-02-01,"11","East Garland",4417
2022-02-01,"17","Northwest Highway",3298
2022-02-01,"24","North Dallas",5967
2022-02-01,"25","Ledbetter",7581
2022-02-01,"26","John West/Buckner",4454
2022-02-01,"30","Duncanville",2621
2022-02-01,"32","West Garland",4562
2022-02-01,"34","Medical District",176
2022-02-01,"37","Abrams Road",3757
2022-02-01,"39","Mesquite",3404
2022-03-01,"1","MLK Center",574
2022-03-01,"3","Westmoreland",3861
2022-03-01,"5","Lake June",7810
2022-03-01,"8","Grand Prairie",4110
2022-03-01,"9","Irving",8014
2022-03-01,"10","Highland Hills",132
2022-03-01,"11","East Garland",4454
2022-03-01,"17","Northwest Highway",3304
2022-03-01,"24","North Dallas",6065
2022-03-01,"25","Ledbetter",7624
2022-03-01,"26","John West/Buckner",4574
2022-03-01,"30","Duncanville",2670
2022-03-01,"32","West Garland",4641
2022-03-01,"34","Medical District",181
2022-03-01,"37","Abrams Road",3870
2022-03-01,"39","Mesquite",3467
2022-04-01,"1","MLK Center",614
2022-04-01,"3","Westmoreland",3986
2022-04-01,"5","Lake June",7982
2022-04-01,"8","Grand Prairie",4173
2022-04-01,"9","Irving",8107
2022-04-01,"10","Highland Hills",133
2022-04-01,"11","East Garland",4533
2022-04-01,"17","Northwest Highway",3293
2022-04-01,"24","North Dallas",6128
2022-04-01,"25","Ledbetter",7661
2022-04-01,"26","John West/Buckner",4700
2022-04-01,"30","Duncanville",2748
2022-04-01,"32","West Garland",4603
2022-04-01,"34","Medical District",179
2022-04-01,"37","Abrams Road",3932
2022-04-01,"39","Mesquite",3413
2022-05-01,"1","MLK Center",683
2022-05-01,"3","Westmoreland",4107
2022-05-01,"5","Lake June",8079
2022-05-01,"8","Grand Prairie",4229
2022-05-01,"9","Irving",8218
2022-05-01,"10","Highland Hills",143
2022-05-01,"11","East Garland",4576
2022-05-01,"17","Northwest Highway",3320
2022-05-01,"24","North Dallas",6199
2022-05-01,"25","Ledbetter",7794
2022-05-01,"26","John West/Buckner",4907
2022-05-01,"30","Duncanville",2792
2022-05-01,"32","West Garland",4441
2022-05-01,"34","Medical District",155
2022-05-01,"37","Abrams Road",3979
2022-05-01,"39","Mesquite",3181
2022-06-01,"1","MLK Center",759
2022-06-01,"3","Westmoreland",4192
2022-06-01,"5","Lake June",8280
2022-06-01,"8","Grand Prairie",4379
2022-06-01,"9","Irving",8447
2022-06-01,"10","Highland Hills",150
2022-06-01,"11","East Garland",4812
2022-06-01,"17","Northwest Highway",3329
2022-06-01,"24","North Dallas",6299
2022-06-01,"25","Ledbetter",7729
2022-06-01,"26","John West/Buckner",5253
2022-06-01,"30","Duncanville",2859
2022-06-01,"32","West Garland",4369
2022-06-01,"34","Medical District",141
2022-06-01,"37","Abrams Road",4064
2022-06-01,"39","Mesquite",2953
2022-07-01,"1","MLK Center",867
2022-07-01,"3","Westmoreland",4251
2022-07-01,"5","Lake June",8552
2022-07-01,"8","Grand Prairie",4438
2022-07-01,"9","Irving",8450
2022-07-01,"10","Highland Hills",152
2022-07-01,"11","East Garland",4918
2022-07-01,"17","Northwest Highway",3376
2022-07-01,"24","North Dallas",6280
2022-07-01,"25","Ledbetter",7743
2022-07-01,"26","John West/Buckner",5755
2022-07-01,"30","Duncanville",2966
2022-07-01,"32","West Garland",4150
2022-07-01,"34","Medical District",138
2022-07-01,"37","Abrams Road",4122
2022-07-01,"39","Mesquite",2159
2022-08-01,"1","MLK Center",924
2022-08-01,"3","Westmoreland",4293
2022-08-01,"5","Lake June",8904
2022-08-01,"8","Grand Prairie",4498
2022-08-01,"9","Irving",8547
2022-08-01,"10","Highland Hills",157
2022-08-01,"11","East Garland",5176
2022-08-01,"17","Northwest Highway",3542
2022-08-01,"24","North Dallas",6339
2022-08-01,"25","Ledbetter",7853
2022-08-01,"26","John West/Buckner",6281
2022-08-01,"30","Duncanville",3070
2022-08-01,"32","West Garland",4030
2022-08-01,"34","Medical District",147
2022-08-01,"37","Abrams Road",4178
2022-08-01,"39","Mesquite",1294
2022-09-01,"1","MLK Center",984
2022-09-01,"3","Westmoreland",4298
2022-09-01,"5","Lake June",9150
2022-09-01,"8","Grand Prairie",4461
2022-09-01,"9","Irving",8546
2022-09-01,"10","Highland Hills",163
2022-09-01,"11","East Garland",5291
2022-09-01,"17","Northwest Highway",3617
2022-09-01,"24","North Dallas",6381
2022-09-01,"25","Ledbetter",7931
2022-09-01,"26","John West/Buckner",6634
2022-09-01,"30","Duncanville",3094
2022-09-01,"32","West Garland",4072
2022-09-01,"34","Medical District",132
2022-09-01,"37","Abrams Road",4254
2022-09-01,"39","Mesquite",676
2022-10-01,"1","MLK Center",1021
2022-10-01,"3","Westmoreland",4335
2022-10-01,"5","Lake June",9511
2022-10-01,"8","Grand Prairie",4511
2022-10-01,"9","Irving",8727
2022-10-01,"10","Highland Hills",149
2022-10-01,"11","East Garland",5490
2022-10-01,"17","Northwest Highway",3680
2022-10-01,"24","North Dallas",6458
2022-10-01,"25","Ledbetter",8064
2022-10-01,"26","John West/Buckner",7020
2022-10-01,"30","Duncanville",3067
2022-10-01,"32","West Garland",4129
2022-10-01,"34","Medical District",129
2022-10-01,"37","Abrams Road",4217
2022-10-01,"39","Mesquite",67
2022-11-01,"1","MLK Center",1056
2022-11-01,"3","Westmoreland",4379
2022-11-01,"5","Lake June",9555
2022-11-01,"8","Grand Prairie",4512
2022-11-01,"9","Irving",8782
2022-11-01,"10","Highland Hills",136
2022-11-01,"11","East Garland",5509
2022-11-01,"17","Northwest Highway",3719
2022-11-01,"24","North Dallas",6544
2022-11-01,"25","Ledbetter",8115
2022-11-01,"26","John West/Buckner",7124
2022-11-01,"30","Duncanville",3078
2022-11-01,"32","West Garland",4192
2022-11-01,"34","Medical District",130
2022-11-01,"37","Abrams Road",4278
2022-11-01,"42","Fruitdale",0
2022-12-01,"1","MLK Center",1067
2022-12-01,"3","Westmoreland",4384
2022-12-01,"5","Lake June",9542
2022-12-01,"8","Grand Prairie",4570
2022-12-01,"9","Irving",8720
2022-12-01,"10","Highland Hills",129
2022-12-01,"11","East Garland",5511
2022-12-01,"17","Northwest Highway",3690
2022-12-01,"24","North Dallas",6598
2022-12-01,"25","Ledbetter",8079
2022-12-01,"26","John West/Buckner",7170
2022-12-01,"30","Duncanville",3035
2022-12-01,"32","West Garland",4273
2022-12-01,"34","Medical District",124
2022-12-01,"37","Abrams Road",4245
2022-12-01,"42","Fruitdale",0
2023-01-01,"1","MLK Center",1050
2023-01-01,"3","Westmoreland",4400
2023-01-01,"5","Lake June",9628
2023-01-01,"8","Grand Prairie",4602
2023-01-01,"9","Irving",8932
2023-01-01,"10","Highland Hills",132
2023-01-01,"11","East Garland",5649
2023-01-01,"17","Northwest Highway",3652
2023-01-01,"24","North Dallas",6619
2023-01-01,"25","Ledbetter",8208
2023-01-01,"26","John West/Buckner",7197
2023-01-01,"30","Duncanville",3061
2023-01-01,"32","West Garland",4357
2023-01-01,"34","Medical District",116
2023-01-01,"37","Abrams Road",4318
2023-01-01,"42","Fruitdale",0
2023-02-01,"1","MLK Center",1035
2023-02-01,"3","Westmoreland",4435
2023-02-01,"5","Lake June",9622
2023-02-01,"8","Grand Prairie",4703
2023-02-01,"9","Irving",8833
2023-02-01,"10","Highland Hills",136
2023-02-01,"11","East Garland",5806
2023-02-01,"17","Northwest Highway",3616
2023-02-01,"24","North Dallas",6654
2023-02-01,"25","Ledbetter",8284
2023-02-01,"26","John West/Buckner",7361
2023-02-01,"30","Duncanville",3128
2023-02-01,"32","West Garland",4425
2023-02-01,"34","Medical District",112
2023-02-01,"37","Abrams Road",4388
2023-02-01,"42","Fruitdale",0
2023-03-01,"1","MLK Center",1105
2023-03-01,"3","Westmoreland",4520
2023-03-01,"5","Lake June",9941
2023-03-01,"8","Grand Prairie",4875
2023-03-01,"9","Irving",9039
2023-03-01,"10","Highland Hills",154
2023-03-01,"11","East Garland",5986
2023-03-01,"17","Northwest Highway",3826
2023-03-01,"24","North Dallas",6831
2023-03-01,"25","Ledbetter",8539
2023-03-01,"26","John West/Buckner",7608
2023-03-01,"30","Duncanville",3247
2023-03-01,"32","West Garland",4597
2023-03-01,"34","Medical District",121
2023-03-01,"37","Abrams Road",4510
2023-03-01,"42","Fruitdale",0
2023-04-01,"1","MLK Center",1186
2023-04-01,"3","Westmoreland",4539
2023-04-01,"5","Lake June",10018
2023-04-01,"8","Grand Prairie",4903
2023-04-01,"9","Irving",9146
2023-04-01,"10","Highland Hills",165
2023-04-01,"11","East Garland",6103
2023-04-01,"17","Northwest Highway",3779
2023-04-01,"24","North Dallas",6835
2023-04-01,"25","Ledbetter",8711
2023-04-01,"26","John West/Buckner",7681
2023-04-01,"30","Duncanville",3273
2023-04-01,"32","West Garland",4662
2023-04-01,"34","Medical District",136
2023-04-01,"37","Abrams Road",4535
2023-04-01,"42","Fruitdale",0
2023-05-01,"1","MLK Center",1244
2023-05-01,"3","Westmoreland",4462
2023-05-01,"5","Lake June",10040
2023-05-01,"8","Grand Prairie",4977
2023-05-01,"9","Irving",9200
2023-05-01,"10","Highland Hills",179
2023-05-01,"11","East Garland",6182
2023-05-01,"17","Northwest Highway",3818
2023-05-01,"24","North Dallas",6959
2023-05-01,"25","Ledbetter",8800
2023-05-01,"26","John West/Buckner",7749
2023-05-01,"30","Duncanville",3297
2023-05-01,"32","West Garland",4755
2023-05-01,"34","Medical District",141
2023-05-01,"37","Abrams Road",4606
2023-05-01,"42","Fruitdale",0
2023-06-01,"1","MLK Center",1259
2023-06-01,"3","Westmoreland",4482
2023-06-01,"5","Lake June",9929
2023-06-01,"8","Grand Prairie",4909
2023-06-01,"9","Irving",9196
2023-06-01,"10","Highland Hills",232
2023-06-01,"11","East Garland",6287
2023-06-01,"17","Northwest Highway",3825
2023-06-01,"24","North Dallas",7056
2023-06-01,"25","Ledbetter",9062
2023-06-01,"26","John West/Buckner",7738
2023-06-01,"30","Duncanville",3315
2023-06-01,"32","West Garland",4753
2023-06-01,"34","Medical District",136
2023-06-01,"37","Abrams Road",4676
2023-06-01,"42","Fruitdale",11
2023-07-01,"1","MLK Center",1281
2023-07-01,"3","Westmoreland",4378
2023-07-01,"5","Lake June",9764
2023-07-01,"8","Grand Prairie",4897
2023-07-01,"9","Irving",9253
2023-07-01,"10","Highland Hills",283
2023-07-01,"11","East Garland",6425
2023-07-01,"17","Northwest Highway",3801
2023-07-01,"24","North Dallas",7099
2023-07-01,"25","Ledbetter",9255
2023-07-01,"26","John West/Buckner",7702
2023-07-01,"30","Duncanville",3299
2023-07-01,"32","West Garland",4741
2023-07-01,"34","Medical District",119
2023-07-01,"37","Abrams Road",4703
2023-07-01,"42","Fruitdale",22
